Size Time
1, 556
2, 609
3, 463
Run completed.
4, 80
5, 8
6, 759
Run completed.
7, 843
8, 157
9, 943
10, 813
11, 502
12, 607
13, 65
14, 439
15, 817
16, 809
17, 937
18, 105
19, 568
20, 67
21, 594
22, 321
23, 877
24, 328
25, 755
26, 187
27, 684
Run completed.
28, 791
29, 451
30, 640
31, 344
32, 469
33, 554
34, 969
35, 486
36, 123
37, 270
38, 49
39, 633
40, 637
41, 843
42, 457
43, 885
Run completed.
44, 696
45, 687
46, 468
47, 652
48, 236
49, 165
50, 31
51, 882
52, 664
53, 216
54, 23
55, 529
56, 677
57, 260
58, 22
59, 340
60, 37
61, 763
62, 290
63, 29
64, 60
65, 946
66, 411
67, 340
68, 365
69, 528
70, 334
71, 689
72, 322
73, 277
74, 366
75, 311
76, 734
Run completed.
77, 277
78, 966
79, 765
80, 771
81, 716
82, 587
83, 833
84, 719
85, 423
86, 223
87, 795
88, 692
89, 4
90, 260
91, 116
92, 302
93, 837
94, 514
95, 959
96, 965
97, 443
98, 497
99, 223
Run completed.
100, 127
